ITS2 type profile		A1-A1bw-A1bf-A1bx	A1-A1ee	B1-B1a-B1b-B1g	C3f-C3fl-C3-C50a-C3ae-C3fm-C3h-C50q	C3f-C3fl-C50a-C3-C3ae-C3fm-C3h-C3bj	C1-C1b-C1c-C42.2-C1br-C1bh-C1cb-C72k	C1/C3-C1c-C1b-C72k-C1w	C3f/C3-C50a-C3fl-C3ae-C3fm-C50q-C3b	C15-C15ek-C15gy-C15gk-C15el	C3f/C3fl-C3ae-C3-C3bj-C50a-C3h	C42a-C1-C42.2-C1j-C1b-C42as-C42aa	C1/C1b/C3-C1u-C1bo	C3-C3fo-C3a	C42.2-C42aq-C1-C42ar	C21/C3	C3/C1	C42a-C42.2-C1-C1b-C42b-C1au	C42a/C1b/C1-C42.2-C42b	C42g/C42a/C1/C42.2-C42h-C42b-C1b	C1y	C42.2/C1-C42i-C3-C1b-C1au	C3k	C91	C1/C1c-C1b	C15-C15by	C3fn	C1/C42.2/C3-C1b	D1-D4-D6-D1b-D1d-D6c-D4d	D1-D4-D4c-D6-D1d-D2	D1-D4-D4c-D1c-D2	D1/D4/D1d-D6	D4/D1/D1ab-D6
107333	C37	0	0	0	0.7855868635415995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107508	E83	0	0	0	0.7845262845262845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107324	C29	0	0	0	0.7844656200726675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107456	E36	0	0	0	0.7836162608889882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107332	C36	0	0	0	0.7827579681544159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107334	C38	0	0	0	0.7823923754139407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107509	E84	0	0	0	0.7810519645120405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107476	E54	0	0	0	0.7798996841909716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107377	C77	0	0	0	0.7739680147366659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107493	E7	0	0	0	0.7689623640388873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
