"2019-09-23";"06:54:45";"WinControl (rev 848) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"";"";"";"D";"";"Device Nr: #1, Diving-PAM ";""
"2019-09-23 05:57:35.917";"2019-09-23";"05:57:35";"F";"2598";"191";"241";"475";"0.207";"41.3"
"2019-09-23 05:57:56.207";"2019-09-23";"05:57:56";"F";"2599";"183";"215";"700";"0.149";"43.8"
"2019-09-23 05:58:16.654";"2019-09-23";"05:58:16";"F";"2600";"174";"190";"1250";"0.084";"44.1"
"2019-09-23 05:59:07.590";"2019-09-23";"05:59:07";"FO";"2601";"344";"1171";"0";"0.706";"0.0"
"2019-09-23 05:59:27.388";"2019-09-23";"05:59:27";"F";"2602";"610";"1105";"60";"0.448";"11.3"
"2019-09-23 05:59:48.836";"2019-09-23";"05:59:48";"F";"2603";"506";"934";"85";"0.458";"16.4"
"2019-09-23 06:00:08.684";"2019-09-23";"06:00:08";"F";"2604";"468";"822";"120";"0.431";"21.7"
"2019-09-23 06:00:30.277";"2019-09-23";"06:00:30";"F";"2605";"475";"742";"198";"0.360";"29.9"
"2019-09-23 06:00:50.802";"2019-09-23";"06:00:50";"F";"2606";"473";"675";"295";"0.299";"37.0"
"2019-09-23 06:01:12.106";"2019-09-23";"06:01:12";"F";"2607";"474";"614";"475";"0.228";"45.5"
"2019-09-23 06:01:32.537";"2019-09-23";"06:01:32";"F";"2608";"467";"552";"700";"0.154";"45.3"
"2019-09-23 06:01:52.605";"2019-09-23";"06:01:52";"F";"2609";"448";"489";"1250";"0.084";"44.1"
"2019-09-23 06:02:43.720";"2019-09-23";"06:02:43";"FO";"2610";"419";"1020";"0";"0.589";"0.0"
"2019-09-23 06:03:03.606";"2019-09-23";"06:03:03";"F";"2611";"549";"831";"60";"0.339";"8.5"
"2019-09-23 06:03:24.537";"2019-09-23";"06:03:24";"F";"2612";"458";"688";"85";"0.334";"11.9"
"2019-09-23 06:03:45.554";"2019-09-23";"06:03:45";"F";"2613";"419";"604";"120";"0.306";"15.4"
"2019-09-23 06:04:05.978";"2019-09-23";"06:04:05";"F";"2614";"403";"544";"198";"0.259";"21.5"
"2019-09-23 06:04:26.606";"2019-09-23";"06:04:26";"F";"2615";"390";"499";"295";"0.218";"27.0"
"2019-09-23 06:04:47.794";"2019-09-23";"06:04:47";"F";"2616";"380";"456";"475";"0.167";"33.3"
"2019-09-23 06:05:08.900";"2019-09-23";"06:05:08";"F";"2617";"368";"418";"700";"0.120";"35.3"
"2019-09-23 06:05:29.837";"2019-09-23";"06:05:29";"F";"2618";"357";"383";"1250";"0.068";"35.7"
"2019-09-23 06:06:23.121";"2019-09-23";"06:06:23";"FO";"2619";"158";"533";"0";"0.704";"0.0"
"2019-09-23 06:06:43.238";"2019-09-23";"06:06:43";"F";"2620";"228";"371";"60";"0.385";"9.7"
"2019-09-23 06:07:04.122";"2019-09-23";"06:07:04";"F";"2621";"174";"299";"85";"0.418";"14.9"
"2019-09-23 06:07:24.865";"2019-09-23";"06:07:24";"F";"2622";"165";"270";"120";"0.389";"19.6"
"2019-09-23 06:07:46.420";"2019-09-23";"06:07:46";"F";"2623";"166";"245";"198";"0.322";"26.8"
"2019-09-23 06:08:06.530";"2019-09-23";"06:08:06";"F";"2624";"165";"227";"295";"0.273";"33.8"
"2019-09-23 06:08:28.039";"2019-09-23";"06:08:28";"F";"2625";"167";"210";"475";"0.205";"40.9"
"2019-09-23 06:08:47.794";"2019-09-23";"06:08:47";"F";"2626";"167";"196";"700";"0.148";"43.5"
"2019-09-23 06:09:09.017";"2019-09-23";"06:09:09";"F";"2627";"166";"181";"1250";"0.083";"43.6"
"2019-09-23 06:09:56.542";"2019-09-23";"06:09:56";"FO";"2628";"144";"451";"0";"0.681";"0.0"
"2019-09-23 06:10:16.334";"2019-09-23";"06:10:16";"F";"2629";"185";"290";"60";"0.362";"9.1"
"2019-09-23 06:10:37.284";"2019-09-23";"06:10:37";"F";"2630";"128";"223";"85";"0.426";"15.2"
"2019-09-23 06:10:57.168";"2019-09-23";"06:10:57";"F";"2631";"119";"202";"120";"0.411";"20.7"
"2019-09-23 06:11:18.277";"2019-09-23";"06:11:18";"F";"2632";"117";"182";"198";"0.357";"29.7"
"2019-09-23 06:11:38.555";"2019-09-23";"06:11:38";"F";"2633";"114";"165";"295";"0.309";"38.3"
"2019-09-23 06:12:00.318";"2019-09-23";"06:12:00";"F";"2634";"113";"149";"475";"0.242";"48.3"
"2019-09-23 06:12:19.955";"2019-09-23";"06:12:19";"F";"2635";"112";"138";"700";"0.188";"55.3"
"2019-09-23 06:12:41.902";"2019-09-23";"06:12:41";"F";"2636";"110";"124";"1250";"0.113";"59.3"
"2019-09-23 06:13:39.398";"2019-09-23";"06:13:39";"FO";"2637";"354";"1177";"0";"0.699";"0.0"
"2019-09-23 06:13:59.169";"2019-09-23";"06:13:59";"F";"2638";"675";"1185";"60";"0.430";"10.8"
"2019-09-23 06:14:20.184";"2019-09-23";"06:14:20";"F";"2639";"694";"1169";"85";"0.406";"14.5"
"2019-09-23 06:14:41.637";"2019-09-23";"06:14:41";"F";"2640";"709";"1126";"120";"0.370";"18.6"
"2019-09-23 06:15:01.484";"2019-09-23";"06:15:01";"F";"2641";"787";"1066";"198";"0.262";"21.8"
"2019-09-23 06:15:23.137";"2019-09-23";"06:15:23";"F";"2642";"797";"988";"295";"0.193";"23.9"
"2019-09-23 06:15:43.794";"2019-09-23";"06:15:43";"F";"2643";"791";"909";"475";"0.130";"25.9"
"2019-09-23 06:16:03.538";"2019-09-23";"06:16:03";"F";"2644";"764";"832";"700";"0.082";"24.1"
